SEASON,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABB,TEAM_NAME,INDEX,PLAY_TYPE,POSS,FREQ,FREQ_PCTL,PPP,PPP_PCTL,GP,PTS,FGM,FGA,FG_PCT,EFG_PCT,SF_FREQ,FTA_FREQ,AND1_FREQ,TOV_FREQ
2023-24,1628365,Markelle Fultz,1610612753,ORL,Orlando Magic,1,Isolation,14,0.036,25,0.86,37.2,43,12,6,13,0.462,0.462,0,0,0,0.071
2023-24,1629021,Moritz Wagner,1610612753,ORL,Orlando Magic,1,Isolation,19,0.026,13.9,0.79,27,80,15,3,11,0.273,0.273,0.263,0.263,0,0.158
2023-24,1630175,Cole Anthony,1610612753,ORL,Orlando Magic,1,Isolation,80,0.082,68.9,1.04,73.8,81,83,33,66,0.5,0.523,0.088,0.1,0.013,0.088
2023-24,1630532,Franz Wagner,1610612753,ORL,Orlando Magic,1,Isolation,122,0.089,73,1,67.7,72,122,47,97,0.485,0.515,0.098,0.107,0.008,0.107
2023-24,1630591,Jalen Suggs,1610612753,ORL,Orlando Magic,1,Isolation,39,0.043,31.6,1.15,90.2,75,45,17,31,0.548,0.645,0.103,0.128,0.051,0.128
2023-24,1631094,Paolo Banchero,1610612753,ORL,Orlando Magic,1,Isolation,284,0.149,91.8,0.89,45.5,80,254,94,210,0.448,0.462,0.155,0.158,0.028,0.13
2023-24,1641710,Anthony Black,1610612753,ORL,Orlando Magic,1,Isolation,11,0.033,21.7,0.82,31.1,69,9,3,9,0.333,0.389,0,0.091,0,0.091
2023-24,203914,Gary Harris,1610612753,ORL,Orlando Magic,2,Transition,62,0.18,50.8,1.02,28.8,54,63,23,57,0.404,0.535,0.016,0.032,0.016,0.065
2023-24,204060,Joe Ingles,1610612753,ORL,Orlando Magic,2,Transition,43,0.142,26.1,1.16,58.1,68,50,17,39,0.436,0.641,0,0,0,0.093
2023-24,1628365,Markelle Fultz,1610612753,ORL,Orlando Magic,2,Transition,69,0.176,47.8,1,24.9,43,69,32,55,0.582,0.582,0.058,0.058,0.014,0.159
